phenotype	sum_weight_m	sum_weight_f	sum_weight_e	perf_corr
albumin	17	30	52	62
arm_fatfree_mass_L	88	3	9	42
arm_fatfree_mass_R	92	3	5	48
bmi	6	47	48	45
calcium	28	31	41	70
creatinine	34	26	40	62
diastolicBP_auto	12	55	33	66
eosinophil_perc	44	15	41	68
FVC_best	69	7	24	59
HbA1c	63	10	27	61
height	29	9	62	53
hip_circ	6	69	25	46
IGF1	35	24	41	50
lymphocyte_perc	25	31	44	58
protein_total	23	32	45	67
pulse_rate	37	22	41	49
RBC_count	28	27	45	57
SHBG	8	78	14	50
systolicBP_auto	11	53	36	63
testosterone	98	2	0	8
urate	19	38	44	51
urea	42	20	37	60
waist_circ	14	36	50	44
waist_to_hip	20	37	42	39
weight	24	16	60	47
whole_body_fat_mass	8	52	41	44
wth_bmi_adj	10	64	27	29
