Name	sex	correlation	magnitude	f_to_m_magnitude
null	null	NA	NA	NA
equal_0_1	equal	0	1	1
f_0_1	f	0	1	NA
m_0_1	m	0	1	NA
equal_1_1	equal	1	1	1
equal_0.25_1	equal	0.25	1	1
equal_0.5_1	equal	0.5	1	1
equal_0.75_1	equal	0.75	1	1
f_1_1.5	f	1	1.5	1.5
m_1_1.5	m	1	1.5	0.666666667
f_1_2	f	1	2	2
m_1_2	m	1	2	0.5
f_1_3	f	1	3	3
m_1_3	m	1	3	0.333333333
f_0.75_1.5	f	0.75	1.5	1.5
m_0.75_1.5	m	0.75	1.5	0.666666667
f_0.75_2	f	0.75	2	2
m_0.75_2	m	0.75	2	0.5
f_0.75_3	f	0.75	3	3
m_0.75_3	m	0.75	3	0.333333333
f_0.5_1.5	f	0.5	1.5	1.5
m_0.5_1.5	m	0.5	1.5	0.666666667
f_0.5_2	f	0.5	2	2
m_0.5_2	m	0.5	2	0.5
f_0.5_3	f	0.5	3	3
m_0.5_3	m	0.5	3	0.333333333
f_0.25_1.5	f	0.25	1.5	1.5
m_0.25_1.5	m	0.25	1.5	0.666666667
f_0.25_2	f	0.25	2	2
m_0.25_2	m	0.25	2	0.5
f_0.25_3	f	0.25	3	3
m_0.25_3	m	0.25	3	0.333333333
f_0_1.5	f	0	1.5	1.5
m_0_1.5	m	0	1.5	0.666666667
f_0_2	f	0	2	2
m_0_2	m	0	2	0.5
f_0_3	f	0	3	3
m_0_3	m	0	3	0.333333333
f_-0.25_1.5	f	-0.25	1.5	1.5
m_-0.25_1.5	m	-0.25	1.5	0.666666667
f_-0.25_2	f	-0.25	2	2
m_-0.25_2	m	-0.25	2	0.5
f_-0.25_3	f	-0.25	3	3
m_-0.25_3	m	-0.25	3	0.333333333
f_-0.5_1.5	f	-0.5	1.5	1.5
m_-0.5_1.5	m	-0.5	1.5	0.666666667
f_-0.5_2	f	-0.5	2	2
m_-0.5_2	m	-0.5	2	0.5
f_-0.5_3	f	-0.5	3	3
m_-0.5_3	m	-0.5	3	0.333333333
f_-0.75_1.5	f	-0.75	1.5	1.5
m_-0.75_1.5	m	-0.75	1.5	0.666666667
f_-0.75_2	f	-0.75	2	2
m_-0.75_2	m	-0.75	2	0.5
f_-0.75_3	f	-0.75	3	3
m_-0.75_3	m	-0.75	3	0.333333333
f_-1_1.5	f	-1	1.5	1.5
m_-1_1.5	m	-1	1.5	0.666666667
f_-1_2	f	-1	2	2
m_-1_2	m	-1	2	0.5
f_-1_3	f	-1	3	3
m_-1_3	m	-1	3	0.333333333
equal_-0.25_1	equal	-0.25	1	1
equal_-0.5_1	equal	-0.5	1	1
equal_-0.75_1	equal	-0.75	1	1
equal_-1_1	equal	-1	1	1
