model	albumin	arm_fatfree_mass_L	arm_fatfree_mass_R	bmi	calcium	creatinine	diastolicBP_auto	eosinophil_perc	FVC_best	HbA1c	height	hip_circ	IGF1	lymphocyte_perc	protein_total	pulse_rate	RBC_count	SHBG	systolicBP_auto	testosterone	urate	urea	waist_circ	waist_to_hip	weight	whole_body_fat_mass	wth_bmi_adj
add	0.039243987	0.022019404	0.021538223	0.043987445	0.031791194	0.00693939	0.018405257	0.047880619	0.021715451	0.024869944	0.09639235	0.029492123	0.080857103	0.043383499	0.039205858	0.035932826	0.053770483	0.073197597	0.014572774	0.006749341	0.057665003	0.020716668	0.027936864	0.014019449	0.038292105	0.045085038	0.018143734
add	0.033733507	0.024009436	0.021061051	0.055189486	0.036902652	0.010107059	0.014157416	0.049019282	0.018346109	0.02961571	0.097925815	0.038191208	0.064832396	0.048219167	0.032567576	0.031805321	0.065089306	0.072847427	0.017773234	0.006527227	0.046864711	0.027215506	0.03642108	0.015308164	0.041149865	0.038152939	0.01624879
add	0.042033028	0.02394149	0.014624656	0.053622921	0.04143472	0.010967608	0.016849029	0.036351824	0.020855728	0.023294604	0.088025615	0.036663538	0.073737031	0.055564966	0.038398417	0.038845529	0.060237942	0.060744739	0.02400005	0.006337659	0.057830435	0.025775784	0.033542553	0.018091791	0.046702098	0.039753723	0.015522813
add	0.039618084	0.02201631	0.02211695	0.046827455	0.038548916	0.010993681	0.017067888	0.048478083	0.016114239	0.026029927	0.092923557	0.040461226	0.071989118	0.058591391	0.030007233	0.030324466	0.063249793	0.069384982	0.022076017	0.006587159	0.052902158	0.023293755	0.029484631	0.015388446	0.042412656	0.040460256	0.01484527
add	0.03846691	0.021180122	0.01812094	0.050660735	0.037526997	0.007083282	0.015455891	0.042645542	0.024303556	0.026670717	0.094163086	0.033183999	0.067191904	0.049155876	0.033351922	0.030748878	0.069280964	0.068751352	0.015025953	0.005022397	0.052384647	0.019305887	0.026236996	0.016827001	0.045758774	0.042788828	0.012371043
add	0.040391551	0.022178918	0.019364557	0.044982201	0.040647568	0.012663549	0.019409941	0.047435128	0.020572969	0.027224652	0.096611689	0.033906281	0.067262139	0.059204097	0.037192933	0.032753674	0.062142412	0.067411851	0.017257272	0.006861481	0.050634078	0.021702644	0.02928418	0.015317804	0.042348683	0.036987793	0.013504397
add	0.033074669	0.022518872	0.020613213	0.04829628	0.036803214	0.012740677	0.012545486	0.04891396	0.018799904	0.025217432	0.094669426	0.037828859	0.07824796	0.054689388	0.032145311	0.036589752	0.056226513	0.061058591	0.017472475	0.006239667	0.051283196	0.023816035	0.028283895	0.014649994	0.048771875	0.040439154	0.016092507
add	0.042187771	0.018953763	0.018889585	0.046738931	0.044101073	0.009949597	0.019095663	0.04698345	0.019670593	0.037148335	0.101284492	0.030035689	0.060171748	0.048690001	0.030262431	0.026778907	0.059423403	0.060256795	0.016877351	0.006412218	0.057686951	0.019988718	0.030992026	0.015054367	0.049805479	0.042229067	0.014905531
add	0.044816843	0.021532897	0.018807621	0.048555988	0.039278284	0.007306176	0.018360568	0.031910634	0.018535667	0.019540423	0.099071478	0.033588732	0.073468075	0.059913064	0.029521189	0.028100883	0.058749201	0.066188472	0.015673178	0.006834141	0.052799959	0.027028208	0.02777714	0.015215489	0.046705283	0.046766489	0.015442662
add	0.03788807	0.021322247	0.014898972	0.05494239	0.042847007	0.006833184	0.017019873	0.042641226	0.021327337	0.027076472	0.092131127	0.035275779	0.05882919	0.0584479	0.037413682	0.02911357	0.062088697	0.067383763	0.018978647	0.005815917	0.048369174	0.023043035	0.027388575	0.014178588	0.040111488	0.03687952	0.014351735
