"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"	"x"
0.756346710207094	0.834656526697182	0.786496485013961	0.829417232306558	0.830588137622939	0.766857612522828	0.854419119699692	0.825576608797035	0.838387598378704	0.819809600694092	0.794588616896133	0.845869239600505	0.795724567481058	0.814341242493951	0.768308956460931	0.79302266865036	0.828373767658208	0.797334647263515	0.819013291779104	0.818502493500671	0.795224113198119	0.808909290492417	0.815611383741865	0.849352292644356	0.787542663850465	0.826194878233378	0.744306289307895	0.769890507559777	0.762231254441511	0.810416675820936	0.809333088017109	0.760800104818303	0.820823723551808	0.783098370176174	0.769860931693075	0.825650262718014	0.851545906986764	0.822329186953163	0.802861225147376	0.849432287589392	0.830243271150617	0.8199529987418	0.80854425650291	0.822856792610968	0.75446016841158	0.798167319560806	0.796125993754883	0.775428916251007	0.846513348482919	0.821045389258346	0.812762519357722	0.80445455317333	0.843026584149809	0.815374756674957	0.830123696839128	0.833451387823711	0.829518854482935	0.808842260750032	0.771999859234039	0.839448325459178	0.818496691638078	0.788553939013028	0.820510516774623	0.798615517556294	0.830110405920599	0.844776944665836	0.832304658622877	0.733715734405274	0.818406055977788	0.800852429514566	0.842891746970443	0.798781049837162	0.838641339674867	0.84465753036992	0.820081198312015	0.824773118661118	0.807607129622677	0.830978203408398	0.798548236383679	0.817364283540648	0.817743269503226	0.765625924365559	0.760976686587952	0.775653298504936	0.798393007473937	0.804914399961468	0.767871813431403	0.79111593584848	0.789186704949699	0.733774288939246	0.791753303846763	0.797863147369004	0.80311334741091	0.823125027966173	0.824026225085967	0.848385833039588	0.817648849436818	0.827799847973708	0.807417526430648
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.000174236134046987	0.000105516698765419	0	0	0	0	0.000383307002468595	0.000484281323830762	0	0	0	0	0.000964796666709475	0	0	0	0	0	0	0	0	0	0	0	0	4.21185852434776e-05	0	0	0	0	0	0.0212299179973195	0	0	0	0	0.0318525542872912	0	0	0	0.000102949200128305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599276867787768	0	0	0	0.000118561976559189	0	0	0	0	0	0	0.0130154161386215	0	0	0	0.036934390317635	0	0	0	0	0	0	0	0	0.0223018140558917	0	0.0343134432530196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00492826674497977	0
0	0	0.000335863282699142	0.0015551669063795	0	0.0300083325501335	0.000709244866494031	0.0241395192805647	0	0	0	0	0.000379892697257035	0	0	0	0.00995652618848182	0.0113566335597662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280333071811994	0	0	0	0	0	0	0	0	0.0285444900445581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0471644396025299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000436811647000556	0	0	0	0	0.0153880280268283	0	0.02229189143022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.232730880491027	0.132121028243849	0.139015051373466	0.126498453229229	0.148192652921939	0.152167184604324	0.140155657395695	0.134588070350201	0.151173474512493	0.177260759643499	0.143337003771291	0.145590029047959	0.139619817465807	0.156270873590468	0.137147512270446	0.183677010291363	0.133311078456604	0.151200748537069	0.161588610391329	0.146018859334093	0.173292911004765	0.155079318853577	0.133051792898328	0.146224460840816	0.143613857715521	0.140740751562743	0.131400805233032	0.13098789585363	0.142403950644285	0.133154375548821	0.165063508219707	0.154671797938455	0.142417592678555	0.147754947148226	0.137937799593816	0.169298303919431	0.128389552683474	0.140617225019154	0.137795123824853	0.146766092760807	0.134832810223008	0.134415206539804	0.145396974150981	0.139379495403142	0.205426847083716	0.150475624630382	0.156567538150748	0.148949616961979	0.149181938624129	0.139764668311161	0.148259340997311	0.157872568571304	0.139650489080434	0.15201085670292	0.151977147660802	0.166548612176289	0.153368088833464	0.152458587489175	0.134774991713405	0.148567773145559	0.131773231397134	0.132021760313019	0.161313633850068	0.192500363687615	0.152459109819758	0.148122297091992	0.158185730875931	0.13102890808654	0.152203948163137	0.153123954158928	0.136649934120555	0.162280818636086	0.158358966421622	0.147556839381234	0.170373431681474	0.131937296366317	0.155413344827982	0.138616914197549	0.131999347713435	0.150171208139227	0.141577220638624	0.151798312239103	0.142225308439399	0.135935762414935	0.14664861376776	0.149346780602892	0.189506575085457	0.145681912865351	0.158464664612894	0.134355161811964	0.146217679901726	0.159439477866777	0.127170335640358	0.165729199657368	0.141158501522565	0.14647269689853	0.130614595696615	0.134582899957449	0.164217084974193
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00968285404538339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134830446684601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00968347100508013	0	0	0	0	0	0	0
0.00547722629898342	0.0255421458012124	0	0.00476274335551333	0	0.00652732311510855	0.00169683746210041	0	0	0.000443349484352454	0	0.00278469899295467	0	0	0.0743964903278129	0.022598848562928	0	0.0143241871054326	0.000144810744496442	0.0315211256504302	0.025106466413882	0.00618009723939732	0.0132011829901384	0	0.000974737600948469	0.0300464830837046	0.0908980449069973	5.72076877112581e-05	0.000337090010930363	0.0101593090569538	6.22075661659233e-05	0	0	0.000792650409449184	0	0.00223479639585946	0.00188164478244453	0.00520103374039193	0.00270248892820055	0.003801619649801	0.00248157689494377	0	0.00704796663195565	0.000824393824107862	0.001825515860971	0.0487788752942202	0.0441457043919477	0	0.00195239660309271	0.0253051299654923	0	0.000444185049052165	0.014960356781268	0	0	0	0.00991323971500677	0.0348900333495463	0.031003676313723	0	0.00741820854556579	0.0115979727526517	0.000918016446913683	0.00389545828134548	0.0169813540495651	0	0.00303910037752881	0.00255076981971657	0.0188838290723996	0	0	0.00186891076243267	0.00119606577413738	0	0.000212684762768472	0.0273003601725893	0.0314007895583297	0.0303557641100648	0	0.0319222732678906	0.00439569282583555	0.000146173629105581	0.0605658835698594	0	0.0546593140418749	0	0.00112801427352394	0	0.0266797484666144	0	0.00368735218940118	0.00100521788217533	0.041608378934205	0.00795377273945927	0	0	0.044210106194	0.00132495848777775	0
0	0	0.00571550687384323	0.000685245325406102	0	0.0126724932568575	0	0.0038625913543983	0.00115097099309342	0	0	0.00115423837776958	0	0.00948916824013781	0.00172823702367732	0.000701472495348686	0.0123434216111711	0.00103541045461712	0	0	0	0.0296457878180154	0	0.00284471317372629	0.0146198558299417	0	0.0076517149665698	0.00951202950001086	0	0.0379220744064595	0	0.0125674533669369	0.0152125893333947	0	0.0405927635081818	0.00281663696669575	0.0181828955473179	0	0.0247562495343001	0	0.0324423417314319	0.00518455686349562	0.0389146480013217	0.00839482811722346	0.0318702060660042	0	0.00316076370242122	0.0738432857661444	0.00117005165184633	0.00111616226353418	0	0.0284949893497466	1.24685295718576e-05	0.029540762083657	0.00231340283446784	0	0	0.00363865216492802	0	0.011983901395263	0.0410968126190407	0	0.0165565695740462	0.00154765154986474	0	0.0046645622282539	0	0.114919303728919	0.0105061667866755	0.0456242708740134	0.00310121356250235	0	0.00171891802408696	0	0.00454520028786037	0.000365621796077021	0.00514192434401117	4.91182839881856e-05	0	0.000458361463371168	0	0	0.0017461660088302	0.0551597744514799	0	0	0.0309883886487673	0	0.00679348849041991	0.00308436146240649	0	0.00435436318085006	0	0.00144008106229545	0	0.00514147006188155	0	0.0313640268360856	0.00500470987554034
